Date,Region,Game Mode Id,Game Mode,Match Mode Id,Match Mode,Is Ugc,Player Users,Lv5 Player Cnt,Lv8 Player Cnt,Lv12 Player Cnt,R2,R7,Game C2,Game C7,Mode C2,Mode C7,Quantile30 Match Cnt,Quantile50 Match Cnt,Quantile70 Match Cnt,Participate Rate,Real Participate Rate,Avg Survival Time,Avg Match Cnt,Avg Match Survival Time,,Date: 2022-01-01 -- 2025-09-30
2022-01-12,ME,1,Battle Royale (BR),2,Ranking Match,False,1513501,1513501,1513501,1487244,63.98%,50.24%,13.13%,24.72%,22.89%,25.04%,2.00,3.00,6.00,38.56%,42.20%,2574.15,5.63,456.99
2022-01-12,ME,15,Clash Squad (CS),6,CS Ranking,False,1601281,1601281,1601281,1569077,61.07%,45.82%,15.68%,28.36%,23.24%,25.82%,2.00,3.00,5.00,40.79%,44.64%,2356.43,4.29,549.36
2022-01-13,ME,1,Battle Royale (BR),2,Ranking Match,False,1531619,1531619,1531619,1503980,65.22%,45.09%,11.79%,35.18%,22.99%,19.73%,2.00,3.00,6.00,37.95%,41.70%,2568.07,5.61,457.67
2022-01-13,ME,15,Clash Squad (CS),6,CS Ranking,False,1609546,1609546,1609546,1575944,63.05%,10.00%,14.41%,40.52%,22.54%,49.48%,2.00,3.00,5.00,39.88%,43.82%,2343.15,4.26,550.27
2022-01-14,ME,1,Battle Royale (BR),2,Ranking Match,False,1611597,1611597,1611597,1581409,61.28%,49.27%,13.89%,29.03%,24.83%,21.71%,2.00,3.00,6.00,37.86%,41.91%,2578.62,5.67,455.17
2022-01-14,ME,15,Clash Squad (CS),6,CS Ranking,False,1714650,1714650,1714650,1678216,59.18%,44.93%,16.58%,33.11%,24.24%,21.96%,2.00,3.00,5.00,40.28%,44.59%,2422.09,4.42,547.43
2022-01-15,ME,1,Battle Royale (BR),2,Ranking Match,False,1523378,1523378,1523378,1495143,61.04%,51.14%,14.59%,26.47%,24.38%,22.39%,2.00,3.00,6.00,37.18%,41.18%,2456.36,5.40,454.47
2022-01-15,ME,15,Clash Squad (CS),6,CS Ranking,False,1622398,1622398,1622398,1588426,57.53%,51.60%,17.10%,30.31%,25.37%,18.09%,2.00,3.00,5.00,39.60%,43.85%,2311.20,4.21,549.25
2022-01-16,ME,1,Battle Royale (BR),2,Ranking Match,False,1450991,1450991,1450991,1424345,61.27%,52.01%,15.29%,24.86%,23.44%,23.13%,2.00,3.00,6.00,36.83%,40.54%,2554.46,5.60,456.00
2022-01-16,ME,15,Clash Squad (CS),6,CS Ranking,False,1508756,1508756,1508756,1476411,58.38%,51.12%,17.67%,29.13%,23.94%,19.75%,2.00,3.00,5.00,38.29%,42.15%,2357.87,4.28,550.74
2022-01-17,ME,1,Battle Royale (BR),2,Ranking Match,False,1400964,1400964,1400964,1375820,63.13%,53.29%,13.65%,24.65%,23.22%,22.06%,2.00,3.00,6.00,36.75%,40.59%,2557.12,5.57,459.15
2022-01-17,ME,15,Clash Squad (CS),6,CS Ranking,False,1459676,1459676,1459676,1428888,59.77%,51.51%,16.44%,28.99%,23.79%,19.50%,2.00,3.00,5.00,38.29%,42.30%,2375.65,4.29,553.31
2022-01-18,ME,1,Battle Royale (BR),2,Ranking Match,False,1389133,1389133,1389133,1364502,55.25%,52.04%,25.35%,25.49%,19.40%,22.46%,2.00,3.00,6.00,36.72%,40.61%,2528.49,5.53,457.38
2022-01-18,ME,15,Clash Squad (CS),6,CS Ranking,False,1443194,1443194,1443194,1413049,13.69%,50.18%,30.62%,29.73%,55.69%,20.09%,2.00,3.00,5.00,38.15%,42.19%,2374.91,4.30,552.70
2022-01-19,ME,1,Battle Royale (BR),2,Ranking Match,False,1270474,1270474,1270474,1250564,66.12%,51.62%,10.04%,22.19%,23.84%,26.19%,2.00,3.00,6.00,43.73%,50.23%,2331.18,5.06,460.94
2022-01-19,ME,15,Clash Squad (CS),6,CS Ranking,False,272339,272339,272339,268789,56.57%,58.30%,18.28%,23.29%,25.15%,18.41%,1.00,2.00,3.00,9.37%,10.77%,1818.41,3.16,575.40
2022-01-20,ME,1,Battle Royale (BR),2,Ranking Match,False,1494802,1494802,1494802,1465745,63.63%,51.57%,11.73%,23.46%,24.63%,24.96%,2.00,3.00,6.00,41.10%,45.98%,2550.23,5.59,456.30
2022-01-20,ME,15,Clash Squad (CS),6,CS Ranking,False,1459137,1459137,1459137,1433609,68.44%,52.59%,11.37%,23.57%,20.19%,23.83%,2.00,3.00,5.00,40.12%,44.88%,2401.30,4.47,537.34
2022-01-21,ME,1,Battle Royale (BR),2,Ranking Match,False,1526602,1526602,1526602,1494352,63.62%,52.06%,12.56%,24.33%,23.82%,23.62%,2.00,3.00,6.00,39.47%,43.57%,2622.24,5.73,457.47
2022-01-21,ME,15,Clash Squad (CS),6,CS Ranking,False,1695237,1695237,1695237,1661375,63.85%,51.00%,13.67%,25.34%,22.48%,23.65%,2.00,3.00,5.00,43.83%,48.39%,2738.38,5.04,543.80
2022-01-22,ME,1,Battle Royale (BR),2,Ranking Match,False,1528116,1528116,1528116,1495428,64.46%,51.22%,13.30%,22.50%,22.25%,26.28%,2.00,3.00,6.00,38.94%,43.53%,2582.40,5.64,457.69
2022-01-22,ME,15,Clash Squad (CS),6,CS Ranking,False,1651365,1651365,1651365,1617016,64.17%,51.01%,14.47%,23.67%,21.36%,25.32%,2.00,3.00,5.00,42.08%,47.04%,2527.24,4.64,544.21
2022-01-23,ME,1,Battle Royale (BR),2,Ranking Match,False,1541145,1541145,1541145,1506561,62.17%,49.63%,15.04%,23.56%,22.78%,26.81%,2.00,4.00,6.00,39.92%,44.03%,2645.24,5.77,458.12
2022-01-23,ME,15,Clash Squad (CS),6,CS Ranking,False,1638440,1638440,1638440,1602415,62.32%,49.52%,16.00%,25.02%,21.68%,25.46%,2.00,3.00,5.00,42.44%,46.81%,2552.70,4.69,543.94
2022-01-24,ME,1,Battle Royale (BR),2,Ranking Match,False,1464849,1464849,1464849,1430861,64.05%,51.05%,13.24%,23.74%,22.71%,25.20%,2.00,4.00,6.00,39.17%,43.18%,2627.46,5.68,462.18
2022-01-24,ME,15,Clash Squad (CS),6,CS Ranking,False,1565015,1565015,1565015,1529008,63.72%,49.83%,14.65%,25.57%,21.64%,24.59%,2.00,3.00,5.00,41.85%,46.13%,2539.33,4.65,546.42
2022-01-25,ME,1,Battle Royale (BR),2,Ranking Match,False,1448273,1448273,1448273,1413356,65.51%,52.25%,12.66%,24.10%,21.83%,23.65%,2.00,3.00,6.00,38.74%,42.70%,2568.68,5.56,461.66
2022-01-25,ME,15,Clash Squad (CS),6,CS Ranking,False,1551988,1551988,1551988,1514957,64.63%,50.51%,14.17%,26.00%,21.19%,23.49%,2.00,3.00,5.00,41.52%,45.76%,2482.11,4.54,546.51
2022-01-26,ME,1,Battle Royale (BR),2,Ranking Match,False,1513642,1513642,1513642,1476115,65.00%,52.50%,13.02%,24.26%,21.98%,23.24%,2.00,4.00,6.00,39.13%,43.09%,2616.39,5.67,461.26
2022-01-26,ME,15,Clash Squad (CS),6,CS Ranking,False,1608716,1608716,1608716,1568972,63.76%,51.17%,14.60%,26.25%,21.64%,22.59%,2.00,3.00,5.00,41.59%,45.80%,2480.19,4.55,544.82
2022-01-27,ME,1,Battle Royale (BR),2,Ranking Match,False,1540820,1540820,1540820,1501777,62.64%,52.10%,11.86%,24.85%,25.50%,23.05%,2.00,4.00,6.00,39.07%,42.95%,2627.65,5.71,460.03
2022-01-27,ME,15,Clash Squad (CS),6,CS Ranking,False,1623269,1623269,1623269,1582019,62.58%,50.82%,13.51%,26.74%,23.91%,22.44%,2.00,3.00,5.00,41.16%,45.25%,2475.95,4.55,544.18
2022-01-28,ME,1,Battle Royale (BR),2,Ranking Match,False,1542383,1542383,1542383,1501472,59.56%,50.76%,14.53%,25.66%,25.91%,23.59%,2.00,3.00,6.00,36.62%,39.79%,2456.17,5.35,458.80
2022-01-28,ME,15,Clash Squad (CS),6,CS Ranking,False,1641216,1641216,1641216,1598661,59.54%,49.74%,16.13%,27.35%,24.34%,22.90%,2.00,3.00,5.00,38.96%,42.34%,2356.79,4.35,541.73
2022-01-29,ME,1,Battle Royale (BR),2,Ranking Match,False,1468213,1468213,1468213,1428901,62.30%,52.65%,14.01%,23.78%,23.68%,23.58%,2.00,3.00,6.00,35.81%,39.32%,2391.58,5.21,459.19
2022-01-29,ME,15,Clash Squad (CS),6,CS Ranking,False,1568928,1568928,1568928,1527042,61.05%,52.96%,15.83%,25.51%,23.11%,21.53%,2.00,3.00,4.00,38.26%,42.02%,2303.79,4.24,543.57
2022-01-30,ME,1,Battle Royale (BR),2,Ranking Match,False,1479730,1479730,1479730,1440405,63.80%,50.75%,14.06%,24.54%,22.14%,24.70%,2.00,3.00,6.00,36.97%,40.38%,2512.13,5.45,461.31
2022-01-30,ME,15,Clash Squad (CS),6,CS Ranking,False,1551381,1551381,1551381,1509716,62.20%,50.70%,15.68%,26.39%,22.13%,22.91%,2.00,3.00,5.00,38.76%,42.34%,2335.95,4.28,545.38
2022-01-31,ME,1,Battle Royale (BR),2,Ranking Match,False,1513418,1513418,1513418,1472995,65.19%,49.08%,12.99%,26.02%,21.81%,24.90%,2.00,3.00,6.00,38.31%,42.22%,2598.07,5.62,462.00
2022-01-31,ME,15,Clash Squad (CS),6,CS Ranking,False,1572541,1572541,1572541,1529665,63.81%,49.81%,14.68%,27.71%,21.51%,22.49%,2.00,3.00,5.00,39.81%,43.87%,2400.11,4.39,546.82
2022-02-01,ME,1,Battle Royale (BR),2,Ranking Match,False,1559150,1559150,1559150,1517690,65.31%,49.25%,13.04%,26.62%,21.65%,24.13%,2.00,4.00,6.00,38.93%,42.90%,2664.00,5.79,460.49
2022-02-01,ME,15,Clash Squad (CS),6,CS Ranking,False,1629407,1629407,1629407,1585628,63.78%,49.18%,14.63%,27.84%,21.58%,22.98%,2.00,3.00,5.00,40.68%,44.83%,2470.91,4.52,546.32
2022-02-02,ME,1,Battle Royale (BR),2,Ranking Match,False,1581453,1581453,1581453,1538481,64.06%,48.89%,13.62%,26.87%,22.33%,24.24%,2.00,4.00,6.00,39.26%,43.04%,2656.80,5.78,459.80
2022-02-02,ME,15,Clash Squad (CS),6,CS Ranking,False,1646643,1646643,1646643,1601491,62.77%,49.31%,15.08%,28.12%,22.15%,22.57%,2.00,3.00,5.00,40.88%,44.82%,2470.71,4.53,545.92
2022-02-03,ME,1,Battle Royale (BR),2,Ranking Match,False,1579039,1579039,1579039,1535217,63.83%,49.15%,13.04%,27.06%,23.13%,23.78%,2.00,3.00,6.00,38.45%,42.28%,2590.64,5.66,457.92
2022-02-03,ME,15,Clash Squad (CS),6,CS Ranking,False,1649990,1649990,1649990,1603911,64.40%,49.10%,14.52%,28.39%,21.08%,22.51%,2.00,3.00,5.00,40.17%,44.18%,2424.27,4.45,544.46
2022-02-04,ME,1,Battle Royale (BR),2,Ranking Match,False,1604791,1604791,1604791,1561878,61.03%,50.03%,14.46%,26.07%,24.51%,23.90%,2.00,3.00,6.00,38.07%,41.80%,2581.70,5.62,459.52
2022-02-04,ME,15,Clash Squad (CS),6,CS Ranking,False,1746094,1746094,1746094,1699787,60.50%,49.22%,16.11%,27.51%,23.39%,23.27%,2.00,3.00,5.00,41.42%,45.48%,2495.88,4.60,542.94
2022-02-05,ME,1,Battle Royale (BR),2,Ranking Match,False,1506076,1506076,1506076,1466523,61.08%,49.78%,14.87%,21.01%,24.05%,29.22%,2.00,3.00,6.00,37.15%,40.83%,2461.27,5.34,460.63
2022-02-05,ME,15,Clash Squad (CS),6,CS Ranking,False,1630910,1630910,1630910,1587602,61.51%,54.38%,16.40%,22.47%,22.08%,23.14%,2.00,3.00,5.00,40.22%,44.22%,2370.32,4.35,545.18
2022-02-06,ME,1,Battle Royale (BR),2,Ranking Match,False,1460109,1460109,1460109,1421953,62.65%,51.55%,14.09%,21.62%,23.26%,26.82%,2.00,3.00,6.00,37.13%,40.74%,2451.17,5.31,461.31
2022-02-06,ME,15,Clash Squad (CS),6,CS Ranking,False,1606091,1606091,1606091,1564410,61.61%,51.32%,15.65%,23.53%,22.74%,25.15%,2.00,3.00,5.00,40.85%,44.81%,2364.78,4.33,546.52
2022-02-07,ME,1,Battle Royale (BR),2,Ranking Match,False,1479955,1479955,1479955,1441253,63.37%,51.35%,13.18%,22.53%,23.44%,26.11%,2.00,3.00,6.00,37.54%,41.18%,2518.46,5.46,461.20
