Date,Region,A1,A7,A30,AR2,AR7,AR30,New User,NU R2,NU R7,NU R30,NU R2_Abs,NU R7_Abs,NU R30_Abs,Revival7,Revival7 R2,Revival7 R7,Revival7 R30,Revival30,Revival30 R2,Revival30 R7,Revival30 R30,C7,C7 Rate,C30,C30 Rate,Retained 7,New User A7,Revival 7 A7,Retained 30,New User A30,Revival 30 A30,EO Month
2/25/2023,SSA,221710,419056,775517,68.90%,54.40%,43.30%,11434,46.80%,17.70%,6.60%,5349,2023,754,18476,37.70%,19.10%,15.00%,7307,39.60%,17.60%,10.60%,125976,31.10%,440869,51.10%,279068,63598,76390,422643,277290,75584,0
2/25/2023,Outside MEA,173224,382985,682289,69.30%,59.10%,49.00%,1408,38.80%,17.80%,7.50%,547,251,105,17850,27.60%,15.60%,12.90%,9447,24.60%,11.80%,8.30%,110450,31.70%,280011,41.80%,238239,9966,134780,389861,40841,251587,0
2/26/2023,Middle East,1180757,2940881,6145395,67.80%,56.80%,43.20%,47092,42.50%,15.80%,4.90%,20026,7455,2328,94143,31.30%,18.20%,13.00%,39590,33.60%,16.00%,9.00%,1132869,38.40%,2757120,47.40%,1814393,397109,729379,3060798,1880768,1203829,0
2/26/2023,North Africa,1572954,3047753,5190469,69.70%,63.80%,57.40%,41873,35.30%,15.80%,6.40%,14782,6600,2669,112521,29.90%,21.90%,22.60%,49759,30.90%,19.40%,16.70%,776766,27.20%,2327007,42.80%,2082237,280199,685317,3109418,1132105,948946,0
2/26/2023,SSA,215388,415115,778984,61.80%,58.60%,40.10%,10656,37.70%,20.80%,5.40%,4015,2221,578,15968,27.70%,22.90%,11.90%,5960,31.50%,20.60%,8.20%,127922,31.70%,435838,50.70%,275849,62815,76451,424469,278065,76450,0
2/26/2023,Outside MEA,167864,381834,681447,68.60%,58.80%,48.60%,1559,39.20%,17.20%,6.90%,611,268,107,16016,26.80%,15.50%,12.20%,8098,25.90%,11.80%,7.60%,112025,32.20%,280285,41.60%,236330,9801,135703,394074,40920,246453,0
2/27/2023,Middle East,1173982,2935667,6121740,67.90%,54.90%,43.40%,45158,42.80%,15.50%,5.20%,19314,7019,2328,90899,31.70%,17.60%,13.10%,36483,34.50%,15.80%,8.90%,1121229,38.30%,2768718,47.50%,1804193,396269,735205,3060047,1864458,1197235,0
2/27/2023,North Africa,1435473,3047530,5150145,74.90%,65.10%,59.50%,30333,41.20%,16.30%,7.10%,12483,4957,2161,78824,36.80%,23.30%,24.20%,33878,38.00%,21.10%,18.50%,782837,27.40%,2349208,43.20%,2078888,279829,688813,3092108,1114887,943150,0
2/27/2023,SSA,183015,414357,772728,69.60%,60.50%,44.10%,7266,46.00%,20.50%,6.80%,3342,1487,491,9979,36.80%,24.00%,14.10%,3610,40.20%,22.60%,10.60%,129242,31.90%,435663,50.60%,275350,62943,76064,425357,272836,74535,0
2/27/2023,Outside MEA,156541,378422,676658,69.90%,60.20%,50.10%,1213,42.00%,15.70%,7.10%,509,190,86,13193,29.10%,16.90%,13.90%,6349,28.70%,13.40%,8.50%,113416,32.60%,280833,41.40%,234276,9517,134629,396984,40368,239306,0
2/28/2023,Middle East,1159713,2922736,6103182,68.70%,55.10%,43.10%,44254,42.90%,15.80%,5.00%,18998,6993,2216,92045,32.10%,17.70%,13.00%,36592,34.80%,15.70%,8.80%,1109214,38.30%,2749750,47.40%,1789313,394004,739419,3051382,1852280,1199520,1
2/28/2023,North Africa,1453407,3049841,5130979,73.50%,63.20%,58.80%,32508,39.60%,15.30%,7.10%,12879,4983,2317,85177,34.90%,21.60%,24.00%,37270,36.40%,19.80%,18.40%,788751,27.60%,2334847,43.20%,2073634,280829,695378,3074191,1109927,946861,1
2/28/2023,SSA,180992,414260,766010,70.40%,55.70%,44.90%,7208,45.80%,17.70%,6.10%,3303,1278,443,10223,36.30%,19.70%,14.90%,3753,39.60%,19.10%,10.90%,130349,32.10%,434710,50.70%,275242,63043,75975,423443,268345,74222,1
2/28/2023,Outside MEA,153652,377596,675561,71.50%,59.70%,50.00%,1095,42.70%,15.90%,8.00%,468,174,88,12828,29.30%,16.10%,13.00%,6081,28.80%,12.70%,7.70%,114673,33.00%,279759,41.70%,233001,9287,135308,391562,39777,244222,1
3/1/2023,Middle East,1199173,2940960,6094823,70.70%,54.30%,44.10%,48369,45.30%,15.70%,5.20%,21928,7614,2520,105889,36.40%,18.80%,14.20%,40852,38.10%,16.60%,9.70%,1088785,37.80%,2744528,47.40%,1793728,395267,751965,3045913,1842900,1206010,0
3/1/2023,North Africa,1427521,3059550,5137106,75.30%,64.10%,59.50%,30381,41.80%,15.60%,7.10%,12702,4745,2160,81841,37.40%,22.50%,24.20%,35037,39.10%,21.00%,18.70%,788545,27.50%,2290028,42.80%,2076007,281603,701940,3065575,1110908,960623,0
3/1/2023,SSA,183188,415136,766769,71.30%,54.10%,45.00%,7523,46.90%,17.00%,6.30%,3526,1281,475,10699,36.90%,20.00%,14.80%,3902,39.70%,18.50%,10.70%,130940,32.10%,426906,50.20%,277564,62927,74645,422854,268203,75712,0
3/1/2023,Outside MEA,155499,377036,674144,72.90%,60.10%,49.90%,1142,43.30%,16.50%,7.20%,495,189,82,13834,32.60%,17.90%,14.20%,6271,32.00%,14.70%,9.20%,114252,32.80%,277327,41.40%,234375,9254,133407,392834,39612,241698,0
3/2/2023,Middle East,1361182,2886169,6103598,69.60%,51.30%,43.50%,62410,45.70%,15.80%,5.70%,28545,9857,3546,146299,37.60%,18.00%,15.70%,54798,38.30%,16.50%,10.40%,1149288,38.70%,2746068,47.30%,1818669,383859,683641,3064709,1837675,1201214,0
3/2/2023,North Africa,1476366,2989525,5146876,77.00%,64.00%,60.10%,32309,43.10%,16.00%,7.50%,13938,5161,2408,89354,39.70%,22.60%,25.60%,37232,40.60%,20.90%,19.40%,865587,29.30%,2234833,42.20%,2091178,269905,628442,3055069,1113028,978779,0
3/2/2023,SSA,189083,413780,768078,71.70%,54.60%,45.90%,8187,48.20%,17.60%,7.30%,3949,1444,594,11580,38.30%,19.70%,15.70%,4109,40.40%,17.50%,11.20%,133560,32.30%,415940,49.60%,280448,62208,71124,422072,268541,77465,0
3/2/2023,Outside MEA,167800,352410,675618,71.30%,58.70%,49.50%,1214,44.20%,15.20%,6.60%,537,184,80,17593,33.40%,18.60%,15.00%,7921,31.90%,15.10%,9.50%,139999,37.00%,273847,41.10%,237917,9060,105433,391773,39431,244414,0
3/3/2023,Middle East,1468503,2870766,6129126,63.90%,52.50%,40.30%,74241,41.20%,16.60%,5.20%,30608,12316,3824,170058,31.30%,18.80%,13.30%,65076,34.50%,17.20%,9.30%,1164275,39.00%,2757178,47.20%,1821496,380766,668504,3087384,1841366,1200376,0
3/3/2023,North Africa,1609786,2940102,5180700,73.50%,63.40%,58.60%,42208,40.70%,16.20%,7.50%,17192,6833,3179,116755,36.70%,23.10%,25.60%,48752,38.20%,21.40%,19.70%,913374,30.30%,2197550,41.80%,2097748,258961,583393,3059903,1125048,995749,0
3/3/2023,SSA,201470,413449,771062,71.80%,52.80%,46.50%,9278,48.80%,17.80%,7.60%,4524,1654,708,13763,39.40%,18.90%,16.70%,4874,42.10%,18.50%,12.10%,135143,32.30%,407140,49.10%,282823,61552,69074,421775,269721,79566,0
3/3/2023,Outside MEA,170566,344673,677212,68.50%,58.50%,49.30%,1336,43.90%,17.30%,8.50%,586,231,114,17593,29.30%,17.00%,14.30%,7984,29.30%,13.90%,9.30%,147988,38.40%,271351,41.00%,237294,8967,98412,390383,39512,247317,0
3/4/2023,Middle East,1333239,2857680,6107438,64.30%,57.30%,40.10%,58855,42.30%,18.10%,5.00%,24889,10640,2966,123261,31.40%,21.90%,12.00%,46589,36.90%,20.30%,8.80%,1153503,39.00%,2789530,47.40%,1805552,380379,671749,3100418,1821793,1185227,0
3/4/2023,North Africa,1587236,2890384,5202572,72.70%,66.90%,59.10%,40344,41.10%,18.10%,7.90%,16593,7316,3194,109375,37.70%,26.90%,26.90%,43371,41.20%,25.20%,21.60%,949686,31.30%,2168245,41.40%,2086797,249956,553631,3062821,1132925,1006826,0
3/4/2023,SSA,220009,414742,777838,69.80%,53.70%,44.70%,11852,47.40%,17.30%,7.30%,5615,2052,866,18540,38.90%,19.30%,16.30%,6516,42.00%,18.20%,12.20%,134703,32.10%,398693,48.50%,284353,61970,68419,422907,273094,81837,0
3/4/2023,Outside MEA,161546,339145,674683,70.30%,60.60%,48.30%,1340,43.10%,17.10%,7.50%,577,229,101,14697,31.60%,18.30%,14.40%,6146,33.10%,15.40%,10.10%,148389,38.70%,271612,41.00%,234596,8899,95650,390293,39635,244755,0
3/5/2023,Middle East,1216175,2855103,6045977,68.10%,56.60%,41.90%,48478,45.20%,17.00%,5.10%,21890,8260,2494,98259,33.80%,19.70%,12.40%,37716,39.60%,18.40%,9.30%,1143562,38.90%,2838831,47.80%,1797319,381765,676019,3102298,1786944,1156735,0
3/5/2023,North Africa,1530002,2859286,5190007,71.30%,67.40%,57.60%,37326,37.80%,18.30%,7.30%,14094,6816,2726,99144,33.50%,27.60%,24.50%,39019,37.60%,26.40%,20.20%,974632,32.00%,2166891,41.40%,2073121,245409,540756,3062618,1125682,1001707,0
3/5/2023,SSA,218697,413628,780633,59.90%,57.80%,42.00%,11257,36.70%,21.60%,6.60%,4132,2429,740,17034,26.40%,23.50%,13.60%,5784,30.70%,22.40%,10.50%,134190,32.30%,393030,48.10%,280925,62571,70132,423274,274387,82972,0
3/5/2023,Outside MEA,161117,337319,673930,69.40%,60.60%,48.40%,1349,41.10%,18.20%,7.60%,554,245,103,14526,30.80%,18.90%,13.20%,6046,32.30%,16.10%,8.50%,150211,39.30%,272454,41.30%,231623,8689,97007,387789,39664,246477,0
3/6/2023,Middle East,1205149,2854559,6001980,68.20%,54.60%,42.20%,47565,45.10%,15.80%,5.20%,21454,7519,2470,95242,34.40%,18.40%,12.60%,37265,40.00%,17.90%,9.60%,1145058,39.00%,2854193,48.00%,1790609,384172,679778,3090042,1764443,1147495,0
3/6/2023,North Africa,1431486,2849917,5161777,75.20%,67.90%,59.30%,29121,43.00%,17.80%,7.70%,12517,5185,2250,78000,38.90%,27.40%,26.30%,29717,44.10%,26.20%,21.80%,980414,32.20%,2164768,41.50%,2067116,244197,538604,3056162,1112218,993397,0
3/6/2023,SSA,178092,411979,773113,68.30%,61.10%,45.90%,7231,46.20%,20.30%,7.10%,3339,1470,510,9862,36.40%,24.30%,14.90%,3357,41.90%,22.80%,11.60%,135435,32.70%,392048,48.10%,278922,62536,70521,422493,269116,81504,0
3/6/2023,Outside MEA,155407,335865,671155,71.80%,61.30%,48.90%,1071,45.10%,17.90%,7.70%,483,192,82,13003,33.50%,18.60%,14.00%,5437,35.40%,16.80%,9.80%,150882,39.90%,272882,41.40%,227540,8547,99778,386521,39358,245276,0
3/7/2023,Middle East,1212609,2868075,5987126,68.90%,54.10%,42.40%,50091,45.50%,15.50%,5.10%,22812,7779,2570,100162,35.70%,18.40%,12.90%,39550,41.70%,18.10%,9.90%,1139955,39.00%,2836743,47.90%,1782781,390009,695285,3079392,1754070,1153664,0
3/7/2023,North Africa,1443820,2838419,5144802,76.10%,67.10%,59.30%,30238,44.00%,17.60%,7.90%,13317,5311,2377,82122,40.40%,27.60%,26.80%,31656,45.00%,26.50%,22.50%,987630,32.40%,2137725,41.20%,2062211,241927,534281,3045029,1104342,995431,0
3/7/2023,SSA,172865,410634,764227,70.70%,56.50%,47.10%,7041,47.60%,17.80%,7.40%,3350,1252,520,9617,36.30%,20.20%,15.60%,3228,40.70%,19.30%,12.10%,136121,32.90%,390477,48.30%,278139,62369,70126,418746,264457,81024,0
3/7/2023,Outside MEA,155904,333575,666803,71.90%,59.00%,48.70%,1095,43.70%,17.50%,8.20%,479,192,90,14238,33.90%,18.10%,13.90%,5972,36.30%,15.60%,9.80%,149751,39.70%,271281,41.30%,227845,8547,97183,386233,39080,241490,0
3/8/2023,Middle East,1248436,2887303,5976560,69.50%,53.80%,42.80%,54964,45.20%,15.70%,5.30%,24843,8619,2904,107278,36.40%,18.40%,13.50%,43047,41.10%,17.90%,10.30%,1146502,39.00%,2836653,48.00%,1794458,396604,696241,3069729,1749034,1157797,0
3/8/2023,North Africa,1494362,2857860,5153912,76.50%,66.80%,58.50%,33193,43.90%,17.70%,7.80%,14588,5859,2586,96734,43.60%,29.70%,28.30%,37854,47.40%,28.40%,23.30%,986873,32.30%,2091398,40.80%,2072677,244739,540444,3038762,1105831,1009319,0
3/8/2023,SSA,177430,409503,763910,70.10%,56.30%,47.70%,7256,46.60%,18.70%,7.50%,3384,1356,542,10185,35.90%,20.70%,16.40%,3398,41.00%,19.90%,12.50%,136901,33.00%,379012,47.70%,278235,62102,69166,415692,264678,83540,0
3/8/2023,Outside MEA,158147,332950,664190,71.00%,58.20%,48.50%,1157,46.00%,16.90%,7.60%,532,195,88,15352,34.20%,18.80%,14.60%,6532,36.50%,17.40%,10.30%,149410,39.60%,268644,41.00%,227626,8562,96762,386182,39131,238877,0
3/9/2023,Middle East,1363841,2896513,5976455,69.70%,51.40%,43.30%,62528,46.30%,15.70%,5.80%,28930,9822,3599,133357,38.30%,17.30%,15.30%,51587,42.10%,17.00%,11.20%,1073329,37.20%,2848847,48.20%,1812840,396722,686951,3066695,1748131,1161629,0
3/9/2023,North Africa,1605896,2914277,5182261,78.20%,64.20%,58.50%,39711,46.80%,17.50%,8.40%,18567,6957,3342,134625,51.40%,29.50%,31.30%,53913,53.10%,28.10%,26.10%,898068,30.00%,2061123,40.40%,2091457,252141,570679,3042492,1112414,1027355,0
3/9/2023,SSA,177766,407102,764363,72.70%,57.00%,48.90%,7470,47.80%,19.00%,7.50%,3570,1416,564,10111,38.10%,20.40%,17.00%,3450,42.00%,19.30%,13.50%,136085,32.90%,364904,46.90%,277695,61385,68022,412502,265056,86805,0
3/9/2023,Outside MEA,156137,327888,660886,72.30%,58.70%,49.00%,1102,44.50%,15.80%,8.40%,490,174,93,14637,36.20%,18.70%,15.30%,6197,38.50%,17.40%,11.20%,125381,35.60%,266219,40.90%,227029,8450,92409,384987,39069,236830,0
3/10/2023,Middle East,1464944,2891254,5998481,64.50%,52.90%,40.50%,73017,42.00%,17.10%,5.30%,30675,12466,3880,156555,32.20%,19.30%,13.60%,61313,36.60%,18.10%,10.10%,1053035,36.70%,2847422,48.10%,1817731,395498,678025,3075029,1756183,1167269,0
3/10/2023,North Africa,1774551,2972284,5238619,74.70%,62.80%,56.30%,52776,43.90%,17.80%,8.00%,23172,9405,4211,157388,44.00%,27.60%,27.00%,67428,47.40%,27.00%,22.80%,837363,28.50%,2036346,40.00%,2102739,262709,606836,3056932,1132104,1049583,0
3/10/2023,SSA,195592,406387,767512,72.30%,55.00%,47.00%,9054,48.50%,18.60%,7.70%,4388,1687,694,13084,41.40%,19.80%,17.30%,4387,44.30%,19.20%,12.90%,135447,32.80%,353668,46.20%,278002,61161,67224,411393,266785,89334,0
3/10/2023,Outside MEA,162238,325548,661172,69.60%,58.60%,47.00%,1284,41.40%,17.70%,7.90%,532,227,102,15876,33.20%,20.20%,14.70%,6751,35.60%,18.90%,10.40%,118565,34.40%,264016,40.70%,226108,8398,91042,384143,39168,237861,0
3/11/2023,Middle East,1347697,2888432,5981039,64.20%,57.10%,41.00%,59731,41.90%,18.00%,5.30%,25001,10776,3187,120442,31.60%,22.00%,13.00%,47264,36.70%,20.20%,9.80%,1043309,36.50%,2823994,47.90%,1814371,396374,677687,3076343,1742899,1161797,0
3/11/2023,North Africa,1783027,3025296,5284833,72.70%,66.00%,54.90%,52202,41.90%,19.40%,7.40%,21878,10108,3857,144723,41.40%,31.10%,24.60%,63223,44.50%,30.10%,20.60%,788092,27.30%,1983960,39.30%,2102292,274567,648437,3067760,1147395,1069678,0
3/11/2023,SSA,216642,406669,774970,69.60%,55.10%,45.10%,11787,47.40%,18.90%,7.90%,5584,2223,927,18315,38.80%,20.50%,17.50%,6279,41.40%,19.60%,12.70%,135625,32.70%,336559,45.10%,279117,61096,66456,410478,270688,93804,0
3/11/2023,Outside MEA,160070,326790,661631,70.40%,59.50%,47.80%,1509,44.30%,18.90%,7.80%,668,285,118,15752,33.30%,18.60%,14.50%,6860,35.10%,16.10%,10.60%,114655,33.80%,259930,40.50%,224490,8567,93733,382403,39580,239648,0
3/12/2023,Middle East,1234136,2891553,5932509,67.80%,56.80%,42.80%,52114,44.00%,16.90%,5.30%,22906,8814,2760,99507,34.50%,20.20%,13.20%,40088,39.70%,18.90%,9.70%,1042251,36.50%,2901678,48.50%,1812852,400010,678691,3077569,1718282,1136658,0
3/12/2023,North Africa,1723007,3066948,5295881,74.10%,65.90%,53.80%,48227,43.10%,18.70%,6.90%,20796,9017,3313,127988,42.00%,29.90%,22.10%,56427,46.10%,28.70%,18.00%,759535,26.60%,2008412,39.40%,2099751,285468,681729,3087179,1147650,1061052,0
3/12/2023,SSA,215785,402101,778842,60.10%,59.10%,43.80%,11196,37.40%,21.60%,6.70%,4188,2422,749,17260,25.90%,24.80%,15.90%,5843,30.00%,23.90%,12.50%,138855,33.60%,339120,45.10%,274773,61035,66293,412851,272108,93883,0
3/12/2023,Outside MEA,162503,330442,664442,68.80%,60.10%,47.80%,1480,41.10%,18.00%,7.00%,609,266,103,15756,31.50%,19.90%,14.20%,7090,33.50%,17.60%,10.60%,112071,33.20%,262919,40.50%,225248,8698,96496,385544,39844,239054,0
3/13/2023,Middle East,1210368,2883138,5885598,68.80%,54.90%,42.90%,51840,44.60%,16.00%,5.20%,23138,8272,2715,95704,34.90%,19.00%,13.40%,39181,39.90%,18.20%,10.10%,1044624,36.60%,2942001,48.90%,1809935,404285,668918,3070624,1702440,1112534,0
3/13/2023,North Africa,1693113,3125563,5301452,76.20%,65.00%,54.20%,45616,45.60%,17.60%,6.60%,20786,8043,2993,113952,44.70%,28.40%,22.10%,51694,48.70%,27.20%,18.50%,742048,26.00%,2023181,39.60%,2107869,301963,715731,3091932,1149052,1060468,0
3/13/2023,SSA,176043,400937,771180,70.10%,61.10%,46.60%,6930,46.60%,20.70%,7.10%,3226,1435,495,10229,37.60%,25.50%,17.20%,3182,42.00%,23.20%,12.60%,138015,33.50%,346215,45.60%,273964,60734,66239,413686,266458,91036,0
3/13/2023,Outside MEA,168144,344564,675869,71.80%,61.70%,48.70%,1293,41.60%,17.70%,6.50%,538,229,84,14707,36.00%,21.50%,14.90%,6586,39.00%,20.10%,10.80%,110752,33.00%,264757,40.80%,225113,8920,110531,384201,39630,252038,0
3/14/2023,Middle East,1229259,2888027,5875424,68.40%,54.70%,43.50%,53572,45.30%,16.40%,5.60%,24246,8782,2975,100529,34.90%,19.00%,14.20%,40726,40.10%,18.30%,10.60%,1047841,36.50%,2940386,49.00%,1820234,407766,660027,3064624,1700066,1110734,0
3/14/2023,North Africa,1727227,3186999,5321949,75.10%,62.40%,53.50%,47380,44.50%,15.40%,6.70%,21095,7313,3175,112642,43.00%,25.20%,21.80%,52670,46.90%,24.10%,18.10%,719645,25.40%,2017773,39.50%,2118774,319105,749120,3092043,1158500,1071406,0
3/14/2023,SSA,175911,401420,763153,70.90%,58.60%,45.50%,6976,46.70%,19.50%,6.30%,3257,1362,438,10072,38.50%,23.10%,15.30%,3258,42.10%,21.50%,12.00%,136384,33.20%,352456,46.10%,274250,60669,66501,411821,261968,89364,0
3/14/2023,Outside MEA,172008,350776,681317,72.70%,60.60%,49.80%,1230,42.40%,16.20%,5.60%,522,199,69,14836,37.20%,21.20%,15.40%,6679,40.30%,19.90%,11.60%,111089,33.30%,264521,40.80%,222486,9055,119235,383681,39388,258248,0
3/15/2023,Middle East,1241269,2887147,5871436,69.40%,54.00%,43.50%,55783,46.50%,16.50%,5.80%,25931,9218,3210,103506,36.40%,19.00%,14.40%,42279,41.00%,18.00%,10.90%,1058017,36.60%,2942292,49.00%,1829286,408585,649276,3059212,1701545,1110679,0
3/15/2023,North Africa,1711411,3231954,5358539,76.10%,62.80%,54.10%,45196,45.30%,15.40%,6.60%,20452,6966,2973,104750,43.90%,25.40%,21.60%,49589,48.20%,24.60%,17.90%,715292,25.00%,1989862,39.10%,2142568,331108,758278,3094289,1174034,1090216,0
3/15/2023,SSA,181094,403223,764606,70.70%,57.60%,44.90%,7751,48.40%,18.30%,6.80%,3754,1419,528,11211,39.90%,21.90%,14.00%,3947,45.00%,19.80%,10.30%,134866,32.90%,348219,45.90%,274637,61164,67422,411019,262739,90848,0
3/15/2023,Outside MEA,178370,356341,687459,72.40%,60.00%,49.00%,1239,44.60%,17.70%,8.20%,553,219,101,16214,37.70%,22.00%,16.00%,7126,41.30%,20.40%,11.70%,111613,33.50%,262424,40.60%,221337,9137,125867,384164,39392,263903,0
3/16/2023,Middle East,1366100,2904801,5890128,69.00%,44.40%,43.10%,67236,46.60%,9.20%,5.70%,31320,6168,3856,136679,38.10%,13.10%,15.30%,54215,41.90%,12.00%,11.10%,1049941,36.20%,2943530,49.10%,1846572,413293,644936,3055680,1715374,1119074,0
3/16/2023,North Africa,1776740,3279407,5405465,77.70%,55.60%,56.00%,51189,47.60%,10.80%,7.20%,24370,5520,3686,118281,48.20%,20.90%,23.90%,56741,51.70%,20.30%,19.90%,719549,24.70%,1969747,38.80%,2194728,342586,742093,3101227,1193902,1110336,0
3/16/2023,SSA,187954,407598,767928,71.70%,44.10%,45.80%,8510,49.00%,11.30%,6.70%,4171,965,566,13128,42.10%,12.70%,14.20%,4977,46.80%,11.30%,9.70%,131952,32.40%,341977,45.40%,275150,62204,70244,410811,264345,92772,0
3/16/2023,Outside MEA,183884,362497,692913,71.90%,52.70%,49.80%,1278,44.40%,14.20%,7.80%,567,181,100,17545,38.40%,16.50%,16.60%,7732,40.80%,14.10%,11.80%,108516,33.10%,260227,40.30%,219372,9313,133812,385147,39518,268248,0
3/17/2023,Middle East,1464656,2913494,5934518,64.40%,51.80%,40.10%,76687,43.20%,13.00%,5.40%,33158,9971,4156,159523,32.00%,19.40%,13.40%,64057,36.40%,17.20%,10.00%,1039608,36.00%,2932725,48.90%,1851646,416963,644885,3065037,1737710,1131771,0
3/17/2023,North Africa,1942622,3338743,5493894,74.20%,61.80%,53.50%,66591,44.70%,13.40%,7.20%,29749,8917,4765,153472,44.30%,28.00%,23.00%,74933,47.70%,26.60%,19.50%,731470,24.60%,1948568,38.50%,2240814,356401,741528,3118976,1230391,1144527,0
3/17/2023,SSA,206435,413215,774070,71.40%,47.70%,45.30%,10556,48.30%,11.90%,7.00%,5099,1260,743,15941,41.60%,15.20%,15.50%,5814,43.80%,13.90%,10.90%,129118,31.80%,339629,45.20%,277269,63706,72240,412546,267647,93877,0
3/17/2023,Outside MEA,185863,364920,696507,71.90%,57.20%,46.80%,1440,48.60%,18.20%,7.30%,700,262,105,17980,36.80%,19.40%,14.80%,7974,40.10%,17.20%,11.10%,106580,32.70%,258645,40.10%,218968,9469,136483,387156,39698,269653,0
3/18/2023,Middle East,1361296,2916399,5930621,64.00%,54.70%,40.50%,65500,42.30%,14.00%,5.20%,27710,9185,3399,124818,30.70%,21.20%,13.00%,50425,36.30%,19.00%,9.70%,1041433,36.10%,2949643,49.00%,1846999,422732,646668,3068475,1735945,1126201,0
3/18/2023,North Africa,1935763,3387601,5567061,72.30%,64.30%,52.40%,62899,42.10%,14.70%,7.30%,26472,9266,4598,148554,42.80%,31.20%,22.90%,71534,45.70%,29.20%,19.00%,751543,24.80%,1928351,38.10%,2273753,367098,746750,3138255,1259575,1169231,0
3/18/2023,SSA,226698,418877,783675,69.00%,49.00%,42.80%,13293,47.00%,12.80%,7.00%,6246,1697,929,20398,39.30%,16.60%,14.90%,7500,42.20%,14.50%,10.50%,126807,31.20%,337511,44.90%,279862,65212,73803,414574,273163,95938,0
3/18/2023,Outside MEA,192446,372502,703238,71.80%,57.90%,46.10%,1536,42.10%,14.00%,6.90%,647,215,106,18827,37.40%,19.90%,14.10%,8403,40.00%,17.20%,10.40%,106440,32.60%,258436,39.90%,220350,9496,142656,389359,39901,273978,0
3/19/2023,Middle East,1248218,2920777,5881812,67.90%,55.00%,41.70%,55526,44.70%,13.10%,5.00%,24845,7270,2771,100785,34.00%,20.40%,13.00%,40527,39.50%,18.40%,9.90%,1043942,36.10%,2998914,49.50%,1847611,426144,647022,3061905,1715442,1104465,0
3/19/2023,North Africa,1858724,3425977,5595760,72.10%,66.30%,51.60%,54015,41.10%,15.70%,6.90%,22178,8460,3718,127971,41.10%,31.40%,21.00%,60671,44.60%,30.00%,17.70%,764415,24.90%,1937713,38.00%,2302533,372886,750558,3157136,1267610,1171014,0
3/19/2023,SSA,224239,420419,790368,64.00%,53.20%,38.70%,12734,42.90%,15.70%,5.10%,5467,2001,644,18863,32.70%,20.00%,11.30%,7036,36.80%,17.70%,7.70%,125779,31.30%,338482,44.80%,276322,66750,77347,417221,276677,96470,0
3/19/2023,Outside MEA,194640,378492,707959,70.50%,58.80%,45.00%,1464,41.50%,16.40%,6.60%,607,240,96,18665,35.50%,20.90%,13.50%,8436,39.00%,18.80%,10.10%,106959,32.40%,259528,40.00%,223483,9480,145529,389873,39981,278105,0
3/20/2023,Middle East,1256613,2934462,5851715,67.70%,53.10%,41.60%,55496,45.30%,12.60%,5.20%,25136,6987,2869,102934,34.70%,19.00%,13.30%,41621,39.40%,17.30%,10.00%,1042120,36.10%,3026975,49.90%,1841018,429800,663644,3042667,1708693,1100355,0
3/20/2023,North Africa,1777098,3453821,5605720,75.50%,67.90%,53.30%,45641,45.20%,16.90%,7.50%,20645,7705,3439,112683,44.90%,32.60%,22.30%,51877,48.80%,31.60%,18.80%,787693,25.20%,1951576,38.10%,2337870,372911,743040,3166000,1268186,1171534,0
3/20/2023,SSA,202664,428275,788584,68.30%,54.70%,40.40%,10319,45.50%,15.30%,5.60%,4696,1581,579,14372,36.20%,19.90%,11.50%,5375,38.60%,17.40%,7.50%,123713,30.90%,344318,45.10%,277224,70139,80912,419459,274929,94196,0
3/20/2023,Outside MEA,188581,382268,708230,71.60%,59.50%,45.40%,1268,44.20%,16.80%,5.40%,561,213,68,16607,37.20%,21.20%,13.60%,7322,40.40%,18.70%,10.10%,107961,31.30%,262262,40.10%,236603,9455,136210,391255,39660,277315,0
3/21/2023,Middle East,1273862,2956293,5861117,55.80%,52.30%,42.50%,61487,26.30%,12.70%,5.00%,16190,7835,3094,110421,24.50%,18.90%,13.70%,45308,27.90%,17.60%,10.40%,1042347,36.10%,3010859,49.80%,1845680,437715,672898,3031866,1722011,1107240,0
3/21/2023,North Africa,1808215,3480816,5633322,66.50%,66.70%,54.00%,47510,32.10%,16.70%,7.80%,15244,7948,3705,113985,35.10%,31.20%,22.20%,54218,38.70%,30.30%,18.80%,818259,25.70%,1935145,37.90%,2368740,373041,739035,3166186,1277113,1190023,0
3/21/2023,SSA,197983,434345,784957,52.10%,52.80%,41.90%,9676,29.70%,14.90%,5.80%,2878,1441,557,12806,22.70%,18.50%,12.50%,4881,26.70%,17.40%,9.40%,122936,30.60%,349655,45.50%,278484,72839,83022,419145,273166,92646,0
3/21/2023,Outside MEA,190741,387321,710908,61.70%,57.80%,46.10%,1300,38.00%,16.70%,7.50%,494,217,98,18379,28.30%,19.70%,13.80%,8410,29.70%,17.50%,9.90%,107912,30.80%,262350,40.20%,242864,9525,134932,390145,39236,281527,0
3/22/2023,Middle East,1068268,2967968,5894226,77.20%,57.90%,48.20%,74448,53.00%,21.20%,10.30%,39483,15801,7667,93063,48.50%,22.60%,17.30%,43470,49.40%,20.50%,12.70%,1048858,36.30%,2994870,49.70%,1838289,456380,673299,3029666,1750461,1114099,0
