Date,Region,A1,A7,A30,AR2,AR7,AR30,New User,NU R2,NU R7,NU R30,NU R2_Abs,NU R7_Abs,NU R30_Abs,Revival7,Revival7 R2,Revival7 R7,Revival7 R30,Revival30,Revival30 R2,Revival30 R7,Revival30 R30,C7,C7 Rate,C30,C30 Rate,Retained 7,New User A7,Revival 7 A7,Retained 30,New User A30,Revival 30 A30,EO Month
1/6/2022,North Africa,1746017,4117713,6790675,77.90%,63.80%,51.30%,33997,42.60%,16.00%,6.60%,14494,5430,2250,87802,39.40%,21.00%,14.70%,34250,38.50%,18.20%,10.90%,1137618,29.30%,2994362,41.80%,2742464,320765,1054484,4169694,1429644,1191337,0
1/6/2022,SSA,5981,12512,20837,73.50%,45.40%,34.50%,408,58.80%,16.70%,6.60%,240,68,27,436,45.90%,15.40%,10.80%,193,42.50%,16.10%,8.80%,3336,32.40%,9371,49.50%,6965,2464,3083,9561,7538,3738,0
1/6/2022,Outside MEA,104433,263803,479709,69.40%,57.00%,44.90%,1740,35.20%,13.20%,4.80%,613,230,83,9922,25.90%,13.80%,9.30%,3883,27.50%,11.70%,6.60%,87612,36.10%,236305,44.30%,155047,12084,96672,297304,52581,129824,0
1/7/2022,Middle East,2213845,5051177,8536410,68.70%,57.50%,42.60%,103531,43.40%,18.30%,6.50%,44884,18906,6763,168080,32.60%,19.30%,12.20%,70621,35.40%,17.50%,9.10%,1309578,31.30%,3918511,46.00%,2879421,701386,1470370,4591397,2612819,1332194,0
1/7/2022,North Africa,1925417,4056942,6811462,74.70%,60.90%,48.10%,44145,40.90%,15.30%,6.30%,18039,6770,2768,115950,37.20%,19.80%,13.90%,41959,38.40%,18.20%,10.50%,1187855,30.40%,2988447,41.70%,2721073,307564,1028305,4183339,1436326,1191797,0
1/7/2022,SSA,6516,12896,21315,69.60%,44.30%,34.70%,468,54.70%,14.70%,7.30%,256,69,34,496,35.90%,13.70%,9.90%,229,41.90%,14.00%,7.90%,3413,32.00%,9329,49.00%,7237,2584,3075,9720,7793,3802,0
1/7/2022,Outside MEA,115210,268678,485798,67.50%,57.30%,44.70%,1982,36.70%,15.40%,5.90%,727,305,116,11571,23.90%,13.70%,9.30%,4312,25.80%,12.00%,6.40%,87315,36.30%,234978,44.00%,153129,12478,103071,299511,52872,133415,0
1/8/2022,Middle East,2104133,4568764,8555979,70.60%,59.80%,43.00%,90565,44.70%,19.20%,6.40%,40442,17401,5772,137289,34.30%,20.50%,11.60%,56330,37.30%,18.50%,8.50%,1782208,38.00%,3926904,46.00%,2906747,667264,994753,4618851,2615900,1321228,0
1/8/2022,North Africa,1926713,3583316,6826253,73.10%,64.00%,47.00%,42261,39.20%,16.50%,5.90%,16571,6988,2513,115673,36.20%,21.80%,13.90%,41411,37.80%,19.30%,10.50%,1620739,37.90%,2981967,41.50%,2660907,272207,650202,4201387,1437231,1187635,0
1/8/2022,SSA,6313,12618,21665,70.40%,49.10%,35.80%,442,50.20%,16.70%,5.20%,222,74,23,441,33.80%,11.10%,10.20%,185,39.50%,10.30%,9.20%,3913,34.40%,9326,48.80%,7461,2584,2573,9795,8014,3856,0
1/8/2022,Outside MEA,118534,256178,492743,68.20%,59.00%,45.40%,1852,33.50%,13.80%,6.00%,621,255,112,11455,22.80%,13.50%,8.60%,4308,23.20%,11.10%,6.10%,102509,40.70%,234182,43.90%,149061,12543,94574,299283,53034,140426,0
1/9/2022,Middle East,2057573,4466287,8543741,71.50%,58.70%,43.80%,86659,45.50%,18.00%,6.70%,39466,15604,5792,137084,35.10%,19.40%,12.50%,54208,39.00%,17.90%,9.40%,1898147,39.50%,3965070,46.10%,2904952,654194,907141,4635185,2607631,1300925,0
1/9/2022,North Africa,1845348,3447042,6808613,71.40%,64.10%,47.30%,39922,37.00%,16.00%,5.80%,14755,6386,2332,114973,32.10%,22.30%,14.00%,38464,34.70%,19.50%,10.40%,1706705,39.60%,3003903,41.60%,2603015,264635,579392,4223248,1423434,1161931,0
1/9/2022,SSA,6160,12506,21932,59.00%,54.50%,30.30%,363,38.00%,22.00%,5.20%,138,80,19,400,34.80%,22.70%,9.70%,172,36.60%,19.20%,9.30%,4086,35.40%,9377,48.60%,7463,2547,2496,9911,8124,3897,0
1/9/2022,Outside MEA,119364,255353,497820,67.70%,59.70%,44.80%,2029,34.70%,15.60%,4.50%,704,317,92,11681,23.40%,15.30%,8.40%,4180,25.50%,12.60%,6.50%,106338,41.70%,233800,44.00%,148874,12582,93897,297424,53218,147178,0
1/10/2022,Middle East,2052369,4415967,8564446,71.30%,58.00%,43.80%,85590,45.30%,17.70%,6.80%,38764,15145,5796,142017,36.70%,20.60%,13.90%,56430,40.70%,19.20%,11.40%,1980426,40.50%,3950193,46.00%,2905530,647646,862791,4641970,2615958,1306518,0
1/10/2022,North Africa,1710311,3396565,6772768,75.90%,63.30%,49.00%,32321,41.40%,15.90%,5.90%,13372,5132,1915,91101,37.50%,21.30%,14.50%,29776,39.60%,19.00%,10.80%,1696825,39.60%,3026897,41.70%,2583667,261266,551632,4238822,1401985,1131961,0
1/10/2022,SSA,4794,12366,21921,68.50%,58.70%,35.80%,215,47.90%,24.70%,8.80%,103,53,19,252,39.30%,23.00%,9.10%,114,38.60%,21.10%,6.10%,4302,36.50%,9480,48.70%,7486,2480,2400,9997,8048,3876,0
1/10/2022,Outside MEA,116620,256060,499746,68.40%,58.90%,45.10%,1935,33.50%,13.60%,4.80%,648,264,92,10784,23.80%,14.30%,8.80%,3706,25.70%,11.50%,5.70%,108277,42.00%,234248,44.30%,149227,12839,93994,295089,53154,151503,0
1/11/2022,Middle East,2037184,4385596,8597875,71.70%,57.80%,44.10%,86590,45.40%,17.50%,6.50%,39305,15112,5662,138800,36.00%,19.40%,13.30%,55419,39.50%,17.70%,10.10%,2033050,41.10%,3889307,45.60%,2908707,645992,830897,4636129,2632149,1329597,0
1/11/2022,North Africa,1772470,3383976,6738406,73.20%,60.70%,47.80%,37129,38.10%,13.90%,5.90%,14134,5164,2196,107685,35.70%,19.20%,14.60%,34739,37.00%,17.70%,10.70%,1662076,39.20%,3024097,41.70%,2577637,263521,542818,4231763,1386300,1120343,0
1/11/2022,SSA,4672,12264,21840,69.00%,54.70%,37.50%,204,53.90%,20.60%,7.80%,110,42,16,254,31.50%,17.70%,9.80%,100,36.00%,20.00%,8.00%,4418,37.10%,9598,48.90%,7488,2423,2353,10021,7981,3838,0
1/11/2022,Outside MEA,115924,257457,501149,68.50%,58.00%,44.90%,1951,32.20%,13.70%,5.10%,628,267,100,11027,24.10%,13.70%,8.90%,3908,25.40%,11.50%,6.10%,109189,42.40%,234534,44.30%,148415,13218,95824,294738,52973,153438,0
1/12/2022,Middle East,2072176,4363135,8646357,72.30%,57.40%,44.50%,91877,46.20%,17.60%,7.00%,42440,16147,6392,147794,38.00%,20.10%,14.30%,57703,40.70%,18.50%,11.10%,2088931,41.80%,3849972,45.30%,2914266,645437,803432,4641974,2655541,1348842,0
1/12/2022,North Africa,1728803,3375790,6727284,73.80%,60.50%,48.60%,36990,38.80%,13.90%,5.60%,14336,5138,2087,99916,35.70%,18.90%,14.20%,32090,36.90%,17.10%,10.20%,1617652,38.60%,2991266,41.50%,2568693,266765,540332,4224993,1380990,1121301,0
1/12/2022,SSA,4593,12121,21955,71.10%,55.30%,37.60%,221,48.90%,22.60%,9.10%,108,50,20,264,36.00%,23.10%,20.10%,109,37.60%,22.00%,15.60%,4595,37.90%,9450,48.60%,7529,2321,2271,9980,8048,3927,0
1/12/2022,Outside MEA,119936,261965,506089,68.00%,56.30%,44.50%,2215,35.50%,13.50%,4.70%,786,298,105,12165,24.80%,13.40%,8.40%,4430,24.20%,10.90%,5.30%,109416,42.30%,232969,44.20%,149012,13704,99249,293802,53259,159028,0
1/13/2022,Middle East,2181417,4371997,8716451,71.40%,44.50%,46.90%,103051,45.80%,8.90%,8.50%,47234,9161,8716,175538,38.10%,12.50%,17.60%,66400,40.90%,11.00%,12.30%,2116509,42.00%,3824474,45.10%,2922554,647863,801580,4658274,2689369,1368808,0
1/13/2022,North Africa,1728398,3381158,6721353,76.90%,49.60%,53.40%,38129,41.40%,7.90%,7.60%,15804,3023,2899,102223,40.50%,12.70%,18.30%,33794,40.30%,11.10%,12.70%,1559775,37.90%,2952122,41.20%,2557938,270897,552323,4217673,1377705,1125975,0
1/13/2022,SSA,4785,11843,22069,72.00%,39.30%,41.70%,223,50.70%,11.20%,11.70%,113,25,26,281,39.50%,11.00%,13.50%,109,44.00%,9.20%,9.20%,4880,39.00%,9223,48.00%,7632,2136,2075,9997,8113,3959,0
